address,epoch_245_035_bug_fix_expected_minus_actual_gnk,epoch_246_035_bug_fix_expected_minus_actual_gnk,epoch_247_035_bug_fix_expected_minus_actual_gnk,epoch_248_035_bug_fix_expected_minus_actual_gnk,epoch_249_035_bug_fix_expected_minus_actual_gnk,epoch_250_035_bug_fix_expected_minus_actual_gnk,epoch_251_035_bug_fix_expected_minus_actual_gnk,epoch_252_035_bug_fix_expected_minus_actual_gnk,epoch_253_035_bug_fix_expected_minus_actual_gnk,epoch_254_035_bug_fix_expected_minus_actual_gnk,epoch_255_035_bug_fix_expected_minus_actual_gnk,total_035_bug_fix_expected_minus_actual_gnk
gonka1lr9mj6dgkv0h76c8y8w0l3esztyg9v2q8d6d8d,,,,806.228688288,,,17.383855703,,,,,823.612543991
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,,,,811.918139388,,,,,,,,811.918139388
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,,,,771.087960903,,,,,,,,771.087960903
gonka1fp8zl07qccdzuekns2q55jgmcag40kjrm8z0z9,,,,741.302011024,,,,,,,,741.302011024
gonka17tlh09e32xpv2uj433ytjnwwd8fh24jclpzm5s,,,,643.577321535,,,,,,,,643.577321535
gonka1dpt9zx2dqcky6yjjwrd8xz2w7lq6vffy9mhvgs,,,,,633.881097507,,,,,,,633.881097507
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,,,,,609.441373429,,,,,,,609.441373429
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,,,,599.735080702,,,,,,,,599.735080702
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,,,,,594.312020428,,,,,,,594.312020428
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,,,,,581.122328069,,,,,,,581.122328069
gonka17fcahf38xh8ghzyyrc55tarz9nd0vw6xd29nsk,,,,568.610436447,,,,,,,,568.610436447
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,,,,562.251638158,,,,,,,,562.251638158
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,,,,558.904902217,,,,,,,,558.904902217
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,,,,515.397334978,,,,,15.659085057,12.814147702,8.451233378,552.321801115
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,,,,552.211430334,,,,,,,,552.211430334
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,,,,548.864694392,,,,,,,,548.864694392
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,,,,548.864694392,,,,,,,,548.864694392
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,,,,542.17122251,,,,,,,,542.171222510
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,,,,525.437542802,,,,,,,,525.437542802
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,,,,,,,,123.609424530,126.316619459,67.692128081,181.822249521,499.440421591
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,,,475.26866763,,,,,,,,,475.268667630
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,,,,396.253535464,,,,,1.043939004,10.585600276,,407.883074744
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,,,,126.506618585,261.854186546,,,,,,,388.360805131
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,,,,209.840343527,155.948715544,,,,0.695959336,3.899957997,2.656101919,373.041078323
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,,,,209.840343527,155.948715544,,,,0.695959336,6.407073851,,372.892092258
