address,epoch_245_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_246_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_247_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_248_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_249_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_250_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_251_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_252_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_253_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_254_confirmation_plus_poc_slot_minus_effective_reward_gnk,epoch_255_confirmation_plus_poc_slot_minus_effective_reward_gnk,total_confirmation_plus_poc_slot_minus_effective_reward_gnk
gonka1gyydhl9lp0udz3409ps0c0lk0y4ft8qcyv8tfq,,,,562.251638158,,,,,,,,562.251638158
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,,,,558.904902217,,,,,,,,558.904902217
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,,,,515.397334978,,,,,15.659085057,12.814147702,8.451233378,552.321801115
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,,,,552.211430334,,,,,,,,552.211430334
gonka1ql9asemklpkpr2d4mh33xw5gj0g5tm0v98c5q3,,,,548.864694392,,,,,,,,548.864694392
gonka1psgzz288a434dv6863ldd73xma70zw7387muj2,,,,548.864694392,,,,,,,,548.864694392
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,,,,542.17122251,,,,,,,,542.171222510
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,,,,525.437542802,,,,,,,,525.437542802
gonka16q0zaetd6hq6d8zj48ur0v967xrrwh566kcazc,,,,519.748091702,,,,,,,,519.748091702
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,,,,,,,,123.609424530,126.316619459,67.692128081,181.822249521,499.440421591
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,,,475.26866763,,,,,,,,,475.268667630
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,,,,396.253535464,,,,,1.043939004,10.585600276,,407.883074744
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,,,,329.318816635,,,,,,,,329.318816635
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,,,,311.581116146,,,,,,,,311.581116146
gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,,,,,,,,135.078340209,89.778754326,27.856842832,48.051298346,300.765235713
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,,,,279.452451109,,,,,,,,279.452451109
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,,,,244.981070912,,,,,1.391918671,30.921095543,,277.294085126
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,,,,252.678563577,,,,,,2.785684283,,255.464247860
gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,,,,,,,,83.680606985,78.295425285,5.014231709,66.161084155,233.151348134
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,,,,209.840343527,,,,,0.695959336,3.899957997,2.656101919,217.092362779
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,,,,209.840343527,,,,,0.695959336,6.407073851,,216.943376714
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,205.774050553,,,,,,,,,,205.774050553
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,,185.544343587,,,,,,,,,14.004901025,199.549244612
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,,192.771990225,,,,,,,,192.771990225
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,,,59.571899757,25.991452590,,37.597641403,39.928817546,,25.349726977,,188.439538273
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,,,,,,,12.12827142,,2.783837343,163.241098993,,178.153207756
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,,,,,,,,,140.235806177,,36.461035428,176.696841605
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,,,,,,,71.152525665,,27.838373435,76.884886215,,175.875785315
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,149.599096581,,,,,,,,149.599096581
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,,,,142.23627751,,,,0.424774655,,,3.139029540,145.800081705
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,136.873042266,,,,,,,,,,,136.873042266
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,,,,126.506618585,,,,,,,,126.506618585
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,,,,121.821188267,,,,,,,1.448782864,123.269971131
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,,,,,,,107.467987650,,,,107.467987650
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,,,,,,,,,,51.813727667,42.256166887,94.069894554
gonka1fkrsesmn2hdj30fhwyam6h4f2e77un36xalhvl,,,,,,,29.916402837,24.21215532,21.574739412,11.699873989,,87.403171558
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,,,,,,,,25.061704629,,18.106947840,31.390295402,74.558947871
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,,,,,,63.765210966,,,,,,63.765210966
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,,,,,,,,63.716198212,,,,63.716198212
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,57.679983642,,,,,,,,,,,57.679983642
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,44.585068437,,,,,,,2.548647928,,,,47.133716365
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,,,,,,,46.895982824,,,,,46.895982824
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,,,,,,,,,38.625743140,,,38.625743140
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,,,23.362606011,,,,23.362606011
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,,,,,,,,22.513056701,,,,22.513056701
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,,,19.964408773,,,,19.964408773
gonka1slndy4rsmld579628302rj5gz8z9qf4v6ppmc4,,,,,,,,19.964408772,,,,19.964408772
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,,,,,,,,,,19.499789983,,19.499789983
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,,,,,,,4.042757140,,13.223227381,,,17.265984521
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,,,,,,,,2.548647928,1.043939004,6.964210708,6.519522891,17.076320531
gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,,,,,,,,16.566211535,,,,16.566211535
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,,,,,,,,,,7.799915992,3.13902954,10.938945532
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,,,,,,,,,10.091410370,,,10.091410370
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,,,,,,,,,,8.078484422,1.931710486,10.010194908
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,,,,,,,0.808551428,,,4.735663281,,5.544214709
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,,,,,,,,,2.435857676,1.114273713,,3.550131389
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,,,,,,,,,,0.835705285,0.241463811,1.077169096
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,,,,,,,,,,,
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,,,,,,,,,,,,
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,,,,,,,,,,,
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,,,,,,,,,,,,
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,,,,,,,,,,,,
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,,,,,,,,,,,,
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,,,,,,,,,,,,
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,,,,,,,,,,,,
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,,,,,,,,,,,
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,,,,,,,,,,,,
gonka1vz2jg42w39l63dmvmjqdsnxx0ywnzt9nzypdy7,,,,,,,,,,,,
gonka1upq4e3ahzea8mu5mhrdptff94xru98lx47h43z,,,,,,,,,,,,
gonka1uawu7tlxcuss8xk9m63fpjm86y58chsg5xwsjt,,,,,,,,,,,,
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,,,,,,,,,,,,
gonka1t8p0tjqls358gmzvd3rnnjulraq2k3m772vnt8,,,,,,,,,,,,
gonka1sq6myvv8r263v4ll5l3ny790nsg5s4507crtqr,,,,,,,,,,,,
gonka1sa32xmpxvv7nepfc22004rgdl4ddjvne42guce,,,,,,,,,,,,
gonka1s43peau7vafujfxyape603yklhdzjh2stq702z,,,,,,,,,,,,
gonka1qx4f2vzhccv0ndhssfgafvf55xf4smuzjmkvky,,,,,,,,,,,,
gonka1qv2dwvqxt542k5ewhggm2wtcpadvzg6mzupzg8,,,,,,,,,,,,
gonka1qsuduuah26qpym3te4tr6u8lh3hmecaxn9j7te,,,,,,,,,,,,
gonka1pcu4wfdv2jtpfsnhgjk4zp7d46z47928xj73st,,,,,,,,,,,,
gonka1p3hklp6flhdffdkwr70azcsum77fha3ecqwgg0,,,,,,,,,,,,
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,,,,,,,,,,,,
gonka1mdy7nlecw4xaqdxmeh3qlqzakg9ftge9szfqgg,,,,,,,,,,,,
gonka1lyc347ysjruw7hvvejekqwu0y62cq0898dzarl,,,,,,,,,,,,
gonka1lwl6qhrdqw43sqc2y4eclfrngf799rnm7mmx87,,,,,,,,,,,,
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,,,,,,,,,,,,
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,,,,,,,,,,,,
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,,,,,,,,,,,,
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,,,,,,,,,,,,
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,,,,,,,,,,,,
gonka1jcxsgcnctv69xd9v35qy45m45pg3wwhn0f8pl2,,,,,,,,,,,,
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,,,,,,,,,,,,
gonka1hytku6t3cfd7wppyrjvu357jjqpsgsw6wcprcy,,,,,,,,,,,,
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,,,,,,,,,,,,
gonka1gt0406jz45mjt0jujqtfd3m9lcyah93t0wj084,,,,,,,,,,,,
gonka1ge9amk4ymld27d35akj3ky9uph4gyz6rdpepjj,,,,,,,,,,,,
gonka1fwjwxw6cvspwautdrhr2jf4mfayy074t5npwnx,,,,,,,,,,,,
