address,epoch_245_confirmation_minus_effective_reward_gnk,epoch_246_confirmation_minus_effective_reward_gnk,epoch_247_confirmation_minus_effective_reward_gnk,epoch_248_confirmation_minus_effective_reward_gnk,epoch_249_confirmation_minus_effective_reward_gnk,epoch_250_confirmation_minus_effective_reward_gnk,epoch_251_confirmation_minus_effective_reward_gnk,epoch_252_confirmation_minus_effective_reward_gnk,epoch_253_confirmation_minus_effective_reward_gnk,epoch_254_confirmation_minus_effective_reward_gnk,epoch_255_confirmation_minus_effective_reward_gnk,total_confirmation_minus_effective_reward_gnk
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,44.585068437,,,0,,0,,2.548647928,,0,,47.133716365
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,,,,,,,46.895982824,,,,,46.895982824
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,0E-9,0,0E-9,0E-9,0E-9,0E-9,3.638481426,10.194591714,0E-9,17.549810984,8.692697188,40.075581312
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-8,38.625743140,0E-9,0E-9,38.625743140
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,,,0E-9,0,0E-9,0E-9,0E-8,0E-9,15.659085057,12.814147702,8.451233378,36.924466137
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,0E-8,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,1.391918671,30.921095543,0E-9,32.313014214
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,0,,23.362606011,,,,23.362606011
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,,,,,,0,,22.513056701,,0,,22.513056701
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,0,,19.964408773,,0,,19.964408773
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,0E-8,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,19.499789983,0E-9,19.499789983
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,-628.244146164,0,0E-9,0E-9,0E-9,0E-9,0E-9,274.829201619,228.274662164,143.741309011,0,18.601026630
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,,,,,,,4.042757140,0E-9,13.223227381,0,,17.265984521
gonka12tfc6ccmadjqv6yaa3axxsuhy6zv6tupu78p8u,0,,,,,0,,16.566211535,,0,0E-9,16.566211535
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,0E-9,0,0,,,,,,,0,14.004901025,14.004901025
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,0E-9,0E-8,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,10.091410370,0E-9,0,10.091410370
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,-140.302662915,-142.240127111,-146.035914333,0E-9,0E-9,0E-9,432.170738273,0E-9,0E-9,0E-9,0E-9,3.592033914
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,0E-9,0E-9,0,,0E-9,0E-9,0E-9,0E-9,2.435857676,1.114273713,0E-9,3.550131389
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,0E-9,0E-9,0E-9,0,0E-9,0E-9,0E-9,0E-9,0E-9,2.785684283,0E-9,2.785684283
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,,,,,,,,,,0.835705285,0.241463811,1.077169096
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,0E-9,0,,,,,,,,,,0E-9
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,0,0E-9,0,,,,,,,,,0E-9
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,0E-9,0,,,,,,,,,,0E-9
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,0E-9,0E-9,0,,,,,,,,,0E-9
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,0E-9,0E-9,,,,,,,,,,0E-9
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,0,,,,,,,,,,,0
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,0E-9,,,,,,,,,,,0E-9
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,0E-9,0,,,,,,,,,,0E-9
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,0E-9,,,,,,,,,,0E-9
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,,0E-9,0,,,,,,,,,0E-9
gonka1vz2jg42w39l63dmvmjqdsnxx0ywnzt9nzypdy7,0,0E-9,0,,,,,,,,,0E-9
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,,,0E-9,0,,,,,,,,0E-9
gonka1uzk2scggfzghr9a5j92l00gzw4jx4adc66977y,0E-9,0E-9,0E-9,0E-8,0,,,,,,,0E-9
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,,,0E-9,0,,,,,,,,0E-9
gonka1upq4e3ahzea8mu5mhrdptff94xru98lx47h43z,0E-9,0,,,,,,,,,,0E-9
gonka1uawu7tlxcuss8xk9m63fpjm86y58chsg5xwsjt,0E-8,0E-9,0E-9,,,,,,,,,0E-9
gonka1u9a7r4w76gult5n9ysadnual9fghkc6yda60wj,,,0E-9,0E-9,0E-9,0E-8,0,0,,,,0E-9
gonka1t8p0tjqls358gmzvd3rnnjulraq2k3m772vnt8,,,,0,,,,,,,,0
