address,epoch_245_035_bug_fix_weight_minus_effective_weight,epoch_246_035_bug_fix_weight_minus_effective_weight,epoch_247_035_bug_fix_weight_minus_effective_weight,epoch_248_035_bug_fix_weight_minus_effective_weight,epoch_249_035_bug_fix_weight_minus_effective_weight,epoch_250_035_bug_fix_weight_minus_effective_weight,epoch_251_035_bug_fix_weight_minus_effective_weight,epoch_252_035_bug_fix_weight_minus_effective_weight,epoch_253_035_bug_fix_weight_minus_effective_weight,epoch_254_035_bug_fix_weight_minus_effective_weight,epoch_255_035_bug_fix_weight_minus_effective_weight,total_035_bug_fix_weight_minus_effective_weight
gonka1llgg3kvg9sc6xz09jtkcrucrppxgn78xe4xlv0,,,,,1532,,,,,,,1532
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,,,,,1498,,,,,,,1498
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,,,1458,,,,,,,,,1458
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,,,,1184,,,,,,,,1184
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,,,,378,675,,,,,,,1053
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,,,,627,402,,,,,,,1029
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,,,,627,402,,,,,,,1029
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,,,,,,,360,351,,317,,1028
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,,,,984,,,,,,,,984
gonka1eazh84v0e60s9m7exxp3nsadcfgvnsthgypjvl,,,,931,,,,,,,,931
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,,,,835,,,,,,,,835
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,,,,755,,,,,,,,755
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,,,,449,288,,,,,,,737
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,,,,732,,,,,,,,732
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,,,,,235,235,235,,,,,705
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,651,,,,,,,,,,651
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,,587,,,,,,,,,,587
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,,576,,,,,,,,576
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,,,,,,,,,,498,,498
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,447,,,,,,,,447
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,439,,,,,,,,,,,439
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,,,,425,,,,,,,,425
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,,,,364,,,,,,,,364
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,185,,,,,,,,,,,185
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,,,178,,,,,,,,178
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,,,,,,176,,,,,,176
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,143,,,,,,,,,,,143
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,,,,,,,,,,,
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,,,,,,,,,,,,
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,,,,,,,,,,,
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,,,,,,,,,,,,
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,,,,,,,,,,,,
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,,,,,,,
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,,,,,,,
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,,,,,,,,,,,
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,,,,,,,,,,,,
