address,epoch_245_poc_slot_allocation_weight,epoch_246_poc_slot_allocation_weight,epoch_247_poc_slot_allocation_weight,epoch_248_poc_slot_allocation_weight,epoch_249_event_1_preserved_weight,epoch_249_event_2_preserved_weight,epoch_249_event_3_preserved_weight,epoch_250_event_1_preserved_weight,epoch_250_event_2_preserved_weight,epoch_251_event_1_preserved_weight,epoch_251_event_2_preserved_weight,epoch_252_event_1_preserved_weight,epoch_252_event_2_preserved_weight,epoch_252_event_3_preserved_weight,epoch_253_event_1_preserved_weight,epoch_253_event_2_preserved_weight,epoch_254_event_1_preserved_weight,epoch_254_event_2_preserved_weight,epoch_254_event_3_preserved_weight,epoch_254_event_4_preserved_weight,epoch_255_event_1_preserved_weight,epoch_255_event_2_preserved_weight,epoch_255_event_3_preserved_weight,epoch_255_event_4_preserved_weight,total_preserved_event_weight
gonka1jltjehxsnum94nt8c00ts7khmpy4lafv6gryzk,1812,1812,,,3935,3935,3935,,3833,,,,617,617,,,,,,,,,,,20496
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,,,,,131,131,131,131,131,131,2566,369,369,369,,,375,375,,,3333,3333,3708,3708,19291
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,,,,732,766,766,766,2520,766,2520,,,766,766,2516,2516,766,766,766,,,766,766,,19230
gonka1r5hdy9q5v783ef7td98k4c68cxl6a58h5sytfq,,6399,6399,6399,,,,,,,,,,,,,,,,,,,,,19197
gonka1zpw8tml8xl4fm6zm8zpf2u4pq4tehmd9e2vgq7,,,,,935,935,935,,,,,,,,2788,2788,2726,,,,2726,2726,,,16559
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,1317,,960,,,,,2303,,2303,,2303,1151,1151,2339,,384,,384,384,384,,,384,15747
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,,,,1988,,,,,,,,1901,1901,1901,,,,2064,2064,2064,,,,1712,15595
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,911,911,,,915,915,915,915,915,915,915,893,,893,,,,,915,915,,915,915,915,14588
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,,,,1540,,,,1202,1202,,,1216,,1216,,1216,1261,,1261,1261,1261,1261,,,13897
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,,,,,,,,1498,1498,,1374,1374,1374,1374,,1374,1342,1342,,1342,,,,,13892
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,,,,894,,,,992,,973,,988,988,,988,988,,988,,988,990,990,990,990,12747
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,,,,755,,,,973,973,,973,973,973,973,,,973,,,973,973,973,973,973,12431
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,3102,3102,3102,3102,,,,,,,,,,,,,,,,,,,,,12408
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,,,,,,,,1962,474,1903,1903,471,471,471,,,1498,1498,1498,,,,,,12149
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,,462,449,449,,,,925,925,,751,751,371,,751,751,,,1817,,1843,1843,,,12088
gonka188c86f9mrlt4nlcg89f82nnfm9jzq9gtjafj50,,3887,3887,3887,,,,,,,,,,,,,,,,,,,,,11661
gonka1h3s37p0l23mg6ak9h9nmayh6r9f2vm6umj3qet,,2794,2794,,1003,1003,1003,1003,1003,,,,,,,,,,,,,,,,10603
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,,1184,1184,1184,,,,,,,,,,,,,1169,1169,,,1169,1169,1169,1169,10566
gonka1h2m79scgaq6ultrwge03wjk0ys4whgcejphmql,,,,,,,,,,,,2005,2005,,,,2005,2005,2005,,,,,,10025
gonka12fazh3etpdx947ldwen4wudnds7wu4kjp5vd76,2426,2426,2426,2426,,,,,,,,,,,,,,,,,,,,,9704
gonka1umvyh0rz5fdmk9qhxurshhchennajced6f4s89,,,,,3204,3204,3204,,,,,,,,,,,,,,,,,,9612
gonka12gc47yq8m7rnsa3aucq8mlzm7men8jaac7qkkz,3133,3133,3133,,,,,,,,,,,,,,,,,,,,,,9399
gonka17ef5hl0588tmjm9ypw7t2kge78wrkcpvyspc0p,2304,2304,2304,2304,,,,,,,,,,,,,,,,,,,,,9216
