address,current_status,epoch_220,epoch_221,epoch_222,epoch_223,epoch_224,epoch_225,epoch_226,epoch_227,epoch_228,epoch_229,epoch_230,epoch_231,epoch_232,epoch_233,epoch_234,epoch_235,epoch_236,epoch_237,epoch_238,epoch_239,epoch_240,epoch_241,epoch_242,epoch_243,epoch_244,epoch_245,epoch_246,epoch_247,epoch_248,epoch_249
gonka12yxxjv4n3al94jgythp4jqyas8een5pu6xr2nr,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka132jlm2gj75cqyuvnnufv5uhnlmfm06jvm25zuv,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka134gw5wnwukm032r3xn4fe73ptrfqewjwnj42q9,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka135x5cg3v5x6mlkj2l077ayx3xv9r6jwsdv5e00,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1369ax8kr4ma8zu708jr3x2r902lfs8tcguyxl8,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka13jelpte0qx5f0up3pzmmgnnqj5877rwfs08n7q,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka13kd0e5393704ummmwf7pqvphlm5qsqdpe3kal2,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka13l0e92dedmwm0a2zcxnctvqlcl2tw7hhkdmsnx,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka13mehzn6a86z7mkf0fcked5y2644r7hnq2txxpa,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka140f97y9dsnjc2cdusp0hzx73tk693ycg6mkqy5,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka143hahlzmxj26dlcdl5552yl9futt7jahjgeu69,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka143x3v0etsful8p4hznnltpeq8arz2g8lkrjumf,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1442mg9djng8kvtmj5mjzenkakq4j7n3fs8tjkx,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka145666cll76ptcyy9ceymtalr8gnvv73ne99p32,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka146a8kuv4hf6lg5ex0h7k89vwld2c7lwp5923cy,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka149c9zggn4su56mrasyrkakk8apcpuz23sx35eq,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka149q5us80a94u45uuedufucdmn8ud5xq4de9g9e,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14cee9dv3ew5chhttaka7p5q6ua0dfep5eqs0js,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14cqs3cnsahrr52end3twr7sq3rhtwnj8j8pyzv,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14d8xhx82yl50emk5ffuklr869e8mqf4lh556ng,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14dd23kqxte3yhuae93g953ehh73f3djnuq0ern,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14g5nf5z695era59sz6zat5mv7n4w73vp26cgx5,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14sdm8urd88v49ns7n6hz99chpunxjkr0w3m8y7,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14ued4vcdeluj9v9vmsmteap7vtg7t50640hvmf,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14wmt933kjf2hlred8330gw28qjpt24j9p8muzp,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14wp5g2auyarncnwk6ufl8stmyrlgzx0l0d3f80,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14z0upz96hw5sd6jgw4qpmy4lfjg294y560f7te,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14zg378dzun4p2zhyuaq59y2q0e340wzahgz97q,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1534swfr4vp6s9zc8prhw6uzzvp9teg5pnrrs06,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
